"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
115000,195000,0.498900508,0.088119306,0.092088743,0.014145607,317.7,0,0,0,0,0,0,0.3974,0.3449,0.046,0.1109,0,0.0904,0.0019,0.0084,0
115000,205000,0.432596309,0.108212438,0.103839674,0.013162062,345.1,0,0,0,0,0,0,0.1257,0.1272,0.0564,0.2617,0.1898,0.0779,0,0,0.0073
115000,225000,0.358897242,0.085691559,0.096133254,0.009396669,325.8,0.0144,0,0,0,0,0,0.0157,0.1753,0.0364,0.0226,0,0.487,3e-04,0.0206,0.0016
115000,235000,0.363984368,0.094155589,0.097492844,0.010527728,313.8,0,0,0,0,0,0,0.097,0.1034,0.1401,0.1381,0,0.5044,0,0.017,0
115000,255000,0.4571733,0.230283066,0.130358263,0.01998758,312.6,0,0,0.006,0.0038,0,0,0.4254,0.0947,0.0827,0.0239,0.0171,0,0,0.3464,0
115000,265000,0.400098552,0.238332115,0.134681361,0.015432578,314.5,0.0196,0,0,0.0026,0,0,0.4026,0.0798,0.0258,0.0235,0.0059,0.0264,0,0.4137,0
115000,275000,0.445138549,0.175734049,0.106183727,0.012058173,276.7,0,0,0,0,0,0,0.4941,0.0396,0.0253,0.0143,0.0049,0.2309,0,0.1908,0
115000,285000,0.507865716,0.098680984,0.105961495,0.015477336,253.8,0.0218,0.003,0,0.0054,0,0,0.6754,0.1089,0.0151,0,0,0.1621,0,0.0083,0
115000,295000,0.419879972,0.095907694,0.08996049,0.011680723,302.8,0.0361,0.004,0.0035,0.0013,0,0,0.2954,0.1336,0.1004,0.066,0,0.3569,0,0.0027,0
115000,305000,0.376973745,0.155773264,0.098950211,0.012649718,297.4,0,0,0,0,0,0,0.1421,0.1649,0.0552,0.0415,0.0248,0.4153,0,0.1565,0
115000,315000,0.495678741,0.212165,0.114724915,0.017133971,313.7,0.0059,0,0,0,0,0,0.6208,0.0336,0.0204,0.0065,0,0.0586,0,0.2541,0
115000,325000,0.543021963,0.089209855,0.098220973,0.016533201,293.1,0,0,0,0,0,0,0.8633,0.029,0.0128,0.0121,0,0.0829,0,0,0
115000,335000,0.505958173,0.116033401,0.092895751,0.011837235,298.8,0,0,0,0,0,0,0.5672,0.0551,0.064,0.0163,0.0076,0.214,0.014,0,0.0045
115000,35000,0.554513211,0.089786942,0.071018501,0.016073142,252.7,0.0192,0,0,0.0053,0,0,0.7517,0.1641,0.0152,0.0028,0.01,0,0,0,0.0067
115000,45000,0.576096357,0.089394364,0.07011966,0.017560131,244.1,0.0034,0,0,0,0,0,0.7909,0.0802,0.0376,0.068,0,0.0204,0,0,0
115000,55000,0.44809134,0.100965526,0.109347535,0.013186904,290,0,0,0,0,0,0,0.3312,0.0849,0.1407,0.2244,0,0.2188,0,0,0
115000,65000,0.424495735,0.099330595,0.114547842,0.012369891,293.6,0,0,0,0,0,0,0.2335,0.099,0.0965,0.0976,0,0.4593,0,0.0139,0
115000,75000,0.428764287,0.100867595,0.102565964,0.012588688,299.1,0,0,0,0,0,0,0.0831,0.2931,0.1237,0.1566,0,0.3437,0,0,0
115000,85000,0.396277961,0.098778427,0.098316058,0.011284865,299.6,0,0,0,0,0,0,0.1394,0.0661,0.1649,0.2574,1e-04,0.372,0,0,0
115000,95000,0.51162566,0.092598552,0.094399801,0.016642074,278.8,0.0094,0,0,0,0,0,0.6859,0.046,0.0185,0.0646,0,0.1757,0,0,0
125000,105000,0.560329621,0.09154199,0.085828269,0.019178617,253.6,0.0028,0,0,0,0,0,0.833,0.0371,0.0541,0.0518,0,0.0214,0,0,0
125000,115000,0.477392343,0.098679651,0.081685332,0.014673454,278.2,0,0,0,0,0,0,0.3641,0.0541,0.2011,0.3352,0,0.0454,0,0,0
125000,125000,0.534559552,0.105737463,0.08818105,0.019888359,290.9,0,0,0,0,0,0,0.6408,0.1348,0.1442,0.0427,0,0.0377,0,0,0
125000,135000,0.5482737,0.108789935,0.087005093,0.020420755,290.6,0.0314,0,0,0.0047,0,0,0.6355,0.0839,0.1051,0.1068,0,0.0327,0,0,0
125000,145000,0.56245651,0.098499687,0.086807701,0.021069523,282.9,0.0057,0,0.0092,0.0063,0.0073,0,0.7173,0.0868,0.0672,0.083,0,0.0174,0,0,0
125000,165000,0.516827991,0.102968986,0.092670538,0.016203122,298.9,0,0,0,0,0,0,0.6494,0.0673,0.0479,0.0558,0,0.0971,0.0171,0,0.0208
125000,175000,0.501285506,0.094119879,0.093758909,0.013298329,318,0,0,8e-04,0,0,0,0.3854,0.3481,0.1008,0.0985,0,0.0667,0,0,0
